order_id,user_id,seller_id,order_date,gmv,commission,returned_flag,return_value,return_reason,return_date,items_count,category,device,traffic_source
O1001,U001,S007,2026-04-25,320,70.4,1,320,size mismatch,2026-04-30,3,dresses,mobile,google_shopping
O1002,U001,S006,2026-04-21,280,61.6,1,280,ordered multiple sizes,2026-04-27,3,shoes,mobile,sale_push
O1003,U001,S008,2026-04-18,260,57.2,1,260,looked different in person,2026-04-24,2,occasionwear,mobile,instagram
O1004,U001,S007,2026-04-12,300,66.0,1,300,size mismatch,2026-04-19,3,dresses,mobile,google_shopping
O1005,U001,S006,2026-04-08,260,57.2,1,260,ordered multiple sizes,2026-04-14,3,shoes,mobile,email
O1006,U001,S002,2026-04-05,260,57.2,0,0,, ,2,outerwear,mobile,direct
O1007,U002,S007,2026-04-24,310,68.2,1,310,size mismatch,2026-04-29,3,dresses,mobile,google_shopping
O1008,U002,S006,2026-04-20,260,57.2,1,260,too expensive for keep,2026-04-26,2,shoes,mobile,sale_push
O1009,U002,S003,2026-04-16,270,59.4,1,270,color mismatch,2026-04-22,3,knitwear,mobile,instagram
O1010,U002,S008,2026-04-11,300,66.0,1,300,size mismatch,2026-04-17,3,occasionwear,mobile,google_shopping
O1011,U002,S003,2026-04-04,340,74.8,0,0,, ,2,knitwear,mobile,email
O1012,U003,S001,2026-04-26,360,79.2,0,0,, ,1,shoes,desktop,direct
O1013,U003,S001,2026-04-19,310,68.2,0,0,, ,1,shoes,desktop,direct
O1014,U003,S005,2026-04-12,340,74.8,0,0,, ,2,basics,desktop,email
O1015,U003,S001,2026-04-06,310,68.2,0,0,, ,1,shoes,desktop,search
O1016,U004,S002,2026-04-23,320,70.4,0,0,, ,1,outerwear,desktop,direct
O1017,U004,S002,2026-04-15,330,72.6,0,0,, ,1,outerwear,desktop,email
O1018,U004,S004,2026-04-07,330,72.6,1,90,fit too narrow,2026-04-15,1,handmade_shoes,desktop,search
O1019,U005,S008,2026-04-22,210,46.2,1,210,size mismatch,2026-04-28,2,occasionwear,mobile,instagram
O1020,U005,S002,2026-04-09,210,46.2,0,0,, ,1,dresses,mobile,direct
O1021,U006,S003,2026-04-17,180,39.6,1,90,quality expectations,2026-04-23,2,knitwear,mobile,search
O1022,U006,S005,2026-04-06,180,39.6,0,0,, ,1,basics,mobile,email
O1023,U007,S004,2026-04-26,140,30.8,0,0,, ,1,handmade_shoes,desktop,direct
O1024,U008,S005,2026-04-18,180,39.6,1,60,late delivery,2026-04-25,1,basics,mobile,social
O1025,U009,S001,2026-04-24,250,55.0,0,0,, ,1,shoes,desktop,direct
O1026,U009,S001,2026-04-18,220,48.4,0,0,, ,1,shoes,desktop,direct
O1027,U009,S002,2026-04-11,210,46.2,0,0,, ,1,dresses,desktop,email
O1028,U009,S005,2026-04-08,200,44.0,1,70,material feel,2026-04-15,2,basics,desktop,search
O1029,U009,S001,2026-04-03,220,48.4,0,0,, ,1,shoes,desktop,direct
O1030,U010,S005,2026-04-20,110,24.2,0,0,, ,1,basics,mobile,direct
O1031,U011,S003,2026-04-22,150,33.0,1,50,wrong fit,2026-04-27,1,knitwear,mobile,search
O1032,U011,S006,2026-04-10,150,33.0,0,0,, ,1,shoes,mobile,sale_push
O1033,U012,S004,2026-04-14,160,35.2,0,0,, ,1,handmade_shoes,desktop,direct
