seller_id,date,seller_name,gmv_last_30d,return_rate_last_30d,orders_count,avg_order_value,margin_contribution,seller_segment,top_category
S001,2026-03-28,UrbanEdge,1540,0.24,28,55,172,healthy,shoes
S002,2026-03-28,Bella Donna,1440,0.30,25,58,126,healthy,dresses
S003,2026-03-28,Modna Szafa,760,0.42,14,54,26,warning,knitwear
S004,2026-03-28,Marta Handmade,500,0.10,8,62,118,healthy,handmade_shoes
S005,2026-03-28,EcoThreads,680,0.16,13,52,92,healthy,basics
S006,2026-03-28,DropStyle,980,0.49,19,52,18,warning,shoes
S007,2026-03-28,Forte Outlet,1040,0.46,20,52,-12,warning,dresses
S008,2026-03-28,OccasionHub,690,0.37,12,58,34,warning,occasionwear
S001,2026-04-27,UrbanEdge,1900,0.28,32,59,180,healthy,shoes
S002,2026-04-27,Bella Donna,1620,0.34,28,58,102,warning,dresses
S003,2026-04-27,Modna Szafa,980,0.48,18,54,12,warning,knitwear
S004,2026-04-27,Marta Handmade,540,0.12,8,68,122,healthy,handmade_shoes
S005,2026-04-27,EcoThreads,760,0.18,14,54,98,healthy,basics
S006,2026-04-27,DropStyle,1100,0.58,21,52,-44,risky,shoes
S007,2026-04-27,Forte Outlet,1260,0.52,22,57,-68,risky,dresses
S008,2026-04-27,OccasionHub,840,0.44,15,56,8,warning,occasionwear
